,restaurant,cuisines,average check,number of reviews,user's rating
784,Люстра Бар,"Японская,Европейская,Подходит для вегетарианцев,Для веганов",1500,94,4.0
785,Пиццерия Pizza Porto Pomodoro,Итальянская,1500,47,4.5
786,Чайхона №1,"Подходит для вегетарианцев,Для веганов",1500,53,4.5
787,Ресторан Наварро'с,"Мексиканская,Перуанская,Латиноамериканская,Гриль",1500,74,4.5
788,Изя Гриль,"Европейская,Подходит для вегетарианцев",1500,135,4.0
789,Маркет,"Морепродукты,Азиатская,Средиземноморская,Тайская,Подходит для вегетарианцев",3000,68,4.5
790,"Ресторан ""Река""","Международная,Средиземноморская,Подходит для вегетарианцев",3000,171,4.0
791,Хижина,"Европейская,Гриль",1500,55,4.5
792,The 21 Food Market,"Японская,Американская,Индийская,Европейская,Азиатская,Бар,Средиземноморская,Паб,Итальянская,Мексиканская,Пицца,Морепродукты",1500,88,4.0
793,Де Марко,"Европейская,Итальянская,Морепродукты,Средиземноморская,Центральноевропейская",1500,69,4.5
794,Джон Донн,"Британская,Паб",1500,60,4.0
795,Имхо,"Бар,Международная,Европейская,Паб,Русская",1500,56,4.5
796,Кафе Южное,"Итальянская,Русская,Восточноевропейская,Армянская,Грузинская,Азербайджанская",1500,82,4.5
797,True Cost Bar & Grill,"Бар,Морепродукты,Европейская,Паб,Подходит для вегетарианцев,Для веганов",700,252,4.0
798,Черри Мио,"Пицца,Европейская,Винный бар",1500,68,4.0
799,Прайм стар,"Фастфуд,Европейская,Русская,Для веганов",700,68,4.0
800,Кулинарная лавка братьев Караваевых,"Европейская,Русская,Подходит для вегетарианцев,Для веганов",700,96,4.0
801,Хорошая Идея,Американская,1500,32,5.0
802,Сытая Утка,"Европейская,Стейк-хаус,Гриль",1500,50,4.5
803,Высоцкий,"Европейская,Русская",1500,80,4.0
804,Chicken Run,"Американская,Европейская,Фастфуд",700,71,4.0
805,Чайхана Павлин-Мавлин,"Европейская,Ближневосточная,Фьюжн",1500,48,4.5
806,Босфор,"Европейская,Турецкая,Средиземноморская,Восточноевропейская,Подходит для вегетарианцев",1500,94,4.0
807,Ян Примус,"Бар,Бельгийская,Европейская,Гриль",1500,120,4.0
808,Патэ,"Французская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,71,4.5
809,Клуб Чешских Пивоваров,"Паб,Чешская,Восточноевропейская",1500,24,4.5
810,Лук Кафе,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Международная,Азербайджанская,Подходит для вегетарианцев,Для веганов",1500,186,4.0
811,Кафе Батони,"Восточноевропейская,Грузинская",1500,62,4.0
812,Буфет,"Итальянская,Японская,Европейская,Русская",1500,86,4.0
813,Траттория-Венеция,"Итальянская,Морепродукты,Подходит для вегетарианцев",1500,159,4.0
814,Иль Патио,"Итальянская,Пицца,Морепродукты,Средиземноморская",1500,85,4.0
815,Булка,"Русская,Центральноевропейская",1500,136,4.0
816,Beer&Brut;,"Итальянская,Французская,Бар,Морепродукты,Средиземноморская,Европейская,Винный бар,Центральноевропейская,Гастропаб,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,339,4.5
817,Чайковский,"Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,118,4.0
818,Крыша-Бар,"Итальянская,Морепродукты,Средиземноморская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,184,4.5
819,800C Contemporary Steak,"Стейк-хаус,Подходит для вегетарианцев",3000,68,4.5
820,Кросс кис паб,"Европейская,Британская,Паб,Гастропаб,Центральноевропейская",1500,62,4.5
821,Винный Базар,"Средиземноморская,Испанская,Подходит для вегетарианцев",1500,39,5.0
822,Хаггис Паб,"Бар,Британская,Европейская,Паб,Шотландская,Центральноевропейская",1500,265,4.0
823,Жан-Жак,"Французская,Подходит для вегетарианцев",1500,77,4.0
824,Кафе Есенин,"Русская,Кафе,Морепродукты,Супы,Центральноевропейская,Восточноевропейская,Подходит для вегетарианцев",1500,119,4.0
825,Караоке бар Shelby,"Итальянская,Американская,Европейская,Фьюжн,Подходит для вегетарианцев",1500,49,5.0
826,Жеральдин,"Французская,Подходит для вегетарианцев",1500,125,4.0
827,Forte Bello,"Итальянская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,495,4.5
828,Cork Wine Bar,"Европейская,Винный бар,Бар,Паб",1500,46,4.5
829,Кабанчик,Барбекю,1500,69,4.5
830,Жан-Жак,"Французская,Винный бар,Подходит для вегетарианцев",1500,113,4.0
831,Ян Примус,"Бельгийская,Европейская,Паб",1500,145,4.0
832,Лобби Бар,"Бар,Международная,Европейская,Паб",1500,66,4.0
833,У Сальваторе,"Итальянская,Пицца,Средиземноморская,Подходит для вегетарианцев",1500,52,4.5
834,Craft & Draft Pub,Европейская,1500,70,4.0
835,Бавариус,"Немецкая,Бар,Европейская,Центральноевропейская,Паб",1500,144,4.0
836,Жадина-Говядина,"Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,95,4.0
837,Да Чикко,"Итальянская,Пицца,Морепродукты,Европейская,Средиземноморская,Супы",1500,126,4.0
838,Beer Harbor,"Американская,Бар,Паб,Гастропаб",700,18,5.0
839,Китайский летчик Джао Да,"Европейская,Русская",1500,114,4.0
840,Bocconcino,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская",1500,64,4.0
841,I Like Wine,"Бар,Морепродукты,Средиземноморская,Европейская,Винный бар,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,332,4.5
842,Мюнхен,"Немецкая,Европейская,Австрийская,Барбекю,Гриль,Современная",1500,83,4.0
843,Френдс форевер,"Американская,Кафе,Европейская",1500,85,4.0
844,Дурдинъ,"Бар,Европейская,Паб,Русская,Центральноевропейская,Восточноевропейская",1500,149,4.0
845,Дарбарс,"Индийская,Азиатская,Подходит для вегетарианцев,Для веганов",1500,76,4.0
846,Широкую на Широкую,"Бар,Европейская,Гриль,Паб",700,49,4.5
847,Лобби Бар в Отеле Moscow Marriott Royal Aurora,"Бар,Паб,Международная,Европейская,Центральноевропейская",1500,50,4.5
848,BB&Burgers;,"Американская,Бар,Фастфуд,Европейская",1500,202,4.0
849,Монте-Кристо,"Европейская,Барбекю,Фьюжн,Подходит для вегетарианцев",1500,61,4.0
850,"Кафе ""Юность""","Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,96,4.0
851,Bao + Bar,"Азиатская,Тайваньская,Японская,Китайская,Подходит для вегетарианцев",1500,49,4.0
852,Рыба Моя,Европейская,1500,85,4.0
853,Locals бар и кухня,"Стейк-хаус,Барбекю,Паб",700,36,4.5
854,Цыцыла,"Восточноевропейская,Гриль,Фьюжн",1500,100,4.0
855,Paul,"Французская,Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,119,4.0
856,Шикари,"Индийская,Азиатская,Тайская,Вьетнамская,Подходит для вегетарианцев,Для веганов",1500,88,4.0
857,Палаццо Дукале,"Итальянская,Морепродукты,Европейская,Средиземноморская,Гриль,Центральноевропейская",3000,70,4.5
858,Простые вещи,"Европейская,Средиземноморская,Современная,Подходит для вегетарианцев",1500,88,4.0
859,Гудман,"Американская,Стейк-хаус,Бар,Барбекю,Европейская,Паб,Центральноевропейская",1500,169,4.0
860,Пивной ресторан Ганс и Марта,"Европейская,Немецкая",1500,73,4.0
861,Mi Piace,Итальянская,1500,54,4.5
862,Libre Kitchen,"Итальянская,Американская,Европейская,Вьетнамская,Русская,Подходит для вегетарианцев,Для веганов",1500,22,5.0
863,Кафе Ханой,"Азиатская,Тайская,Вьетнамская,Подходит для вегетарианцев",700,65,4.5
864,Нью-Йорк Стейкхаус,"Американская,Европейская,Стейк-хаус,Аргентинская,Южноамериканская",3000,23,4.5
865,Стейдж,"Стейк-хаус,Пицца,Морепродукты,Европейская,Гриль,Подходит для вегетарианцев,Для веганов",1500,66,4.5
866,Ресторан Грют,"Европейская,Бар,Паб,Подходит для вегетарианцев",1500,61,4.0
867,Оранжерея,"Европейская,Азиатская,Русская,Центральноевропейская",700,48,4.5
868,Чайхона №1,"Ближневосточная,Восточноевропейская,Барбекю,Подходит для вегетарианцев,Для веганов",1500,218,4.0
869,Кафе студии Артемия Лебедева,"Кафе,Центральноевропейская,Европейская",1500,81,4.0
870,Чайхона №1,"Японская,Пицца,Европейская,Фьюжн,Узбекская",1500,34,4.5
871,Паприка,"Индийская,Азиатская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,173,4.0
872,ВьетКафе,"Вьетнамская,Подходит для вегетарианцев",1500,58,4.0
873,Красная Площадь дом 1,"Русская,Центральноевропейская,Европейская",3000,49,4.5
874,Megobari,Грузинская,1500,18,5.0
875,Чайхона №1,"Китайская,Пицца,Европейская,Узбекская,Грузинская,Подходит для вегетарианцев",1500,62,4.0
876,Айва,Азиатская,700,67,4.0
877,Roots Bar & Bistro,"Бар,Гастропаб,Подходит для вегетарианцев",1500,20,5.0
878,Примавера,Итальянская,1500,137,4.0
879,"Кафе ""Прованс""","Итальянская,Французская,Русская",1500,40,4.5
880,Террин,Европейская,1500,42,4.5
881,Пикколино,"Итальянская,Морепродукты,Европейская,Средиземноморская,Гриль",1500,89,4.0
882,Джелатерия Пломбир,Итальянская,1500,28,4.5
883,Кафе-бутик Leonidas,"Бельгийская,Европейская",1500,25,5.0
884,Pho Fighters,"Тайская,Вьетнамская",1500,31,4.5
885,Джон Булл Паб,"Бар,Европейская,Паб,Центральноевропейская",1500,91,4.0
886,Граци Рагацци,"Итальянская,Морепродукты,Подходит для вегетарианцев,Для веганов",1500,103,5.0
887,Легенда,"Японская,Европейская",1500,94,4.5
888,Пельмени,"Европейская,Русская",1500,59,4.0
889,Булочная №5,Кафе,1500,61,4.5
890,Винный бар 13°,"Международная,Современная,Подходит для вегетарианцев",700,55,4.5
891,Жан-Жак,"Французская,Бар,Европейская,Паб,Центральноевропейская,Подходит для вегетарианцев",1500,188,4.0
892,Маяк,"Бар,Европейская,Паб,Кафе,Центральноевропейская",1500,94,4.0
893,Академия,"Итальянская,Кафе,Суши,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,125,4.0
894,Калинка,"Европейская,Русская,Центральноевропейская",1500,83,4.0
895,The Burger Brothers,"Американская,Бар,Фастфуд",1500,107,4.0
896,Bistrot,"Итальянская,Средиземноморская,Морепродукты",3000,63,4.5
897,Юджунг,"Азиатская,Корейская,Японская,Морепродукты,Гриль",1500,33,4.5
898,Балкан,Кафе,1500,28,4.5
899,Панчо Вилла,"Мексиканская,Латиноамериканская,Бар,Центральноамериканская,Подходит для вегетарианцев",1500,235,4.0
900,Гудман,Стейк-хаус,1500,66,4.5
901,Де Марко,"Морепродукты,Европейская,Итальянская,Японская,Суши,Гриль,Центральноевропейская,Подходит для вегетарианцев",1500,123,4.0
902,Якитория,"Японская,Суши,Азиатская,Подходит для вегетарианцев,Для веганов",1500,221,3.5
903,Бергштайн,"Итальянская,Японская,Европейская",1500,81,4.0
904,Тибет Гималаи,"Индийская,Азиатская,Тибетская",1500,91,4.0
905,Шоколадница,"Кафе,Русская,Восточноевропейская",1500,111,4.0
906,Камчатка,"Бар,Европейская,Паб,Центральноевропейская",700,336,3.5
907,Суп кафе,"Супы,Европейская",1500,46,4.5
908,Paul,Французская,1500,56,4.0
909,Фестивальное,Русская,700,81,4.0
910,Эппл бар и ресторан,"Европейская,Бар,Паб,Винный бар",1500,68,4.0
911,Де Марко,"Европейская,Итальянская",3000,74,4.0
912,Тики-бар,"Латиноамериканская,Бар,Испанская,Международная,Гриль,Подходит для вегетарианцев,Для веганов",1500,103,4.0
913,Ресторан Жан-Жак,"Французская,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,163,4.0
914,Эстетик,"Немецкая,Австрийская,Бар,Пицца,Европейская,Паб",1500,59,4.5
915,Хачапурия,Подходит для вегетарианцев,1500,54,4.0
916,Ла Ферм,"Кафе,Итальянская,Современная",1500,53,4.0
917,Zupperia,"Итальянская,Европейская,Центральноевропейская",1500,80,4.0
918,Бамбу Бар (Москва-Сити),"Морепродукты,Японская,Бар,Средиземноморская,Суши,Азиатская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",3000,168,4.5
919,Вилладж Китчен,"Средиземноморская,Европейская,Кавказская,Центральноевропейская",3000,78,4.0
920,Джаз-клуб Андрея Макаревича,"Европейская,Грузинская",700,35,4.5
921,Старбакс,Кафе,1500,37,4.5
922,Темпл Бар,"Бар,Барбекю,Европейская,Американская,Стейк-хаус",1500,102,4.0
923,Карлсон,"Итальянская,Морепродукты,Европейская,Современная,Подходит для вегетарианцев,Для веганов",3000,653,3.5
924,Альковъ,"Европейская,Итальянская,Французская",1500,52,4.5
925,Вьеткафе Сити,"Морепродукты,Азиатская,Вьетнамская,Подходит для вегетарианцев,Для веганов",1500,95,4.0
926,БарБошко,"Средиземноморская,Европейская,Русская",1500,36,5.0
927,Черчилль паб,"Бар,Морепродукты,Европейская",1500,121,4.0
928,Фреш,"Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,53,4.5
929,Перец & Мята,Подходит для вегетарианцев,1500,35,4.5
930,Лобби,"Бар,Паб",1500,33,4.5
931,ресторан «Де Пари»,"Центральноевропейская,Французская,Европейская,Магазин готовой еды,Русская",1500,39,4.5
932,Grand Урюк,"Кавказская,Европейская,Узбекская,Подходит для вегетарианцев",1500,124,4.0
933,Ресторан Оли Оли,"Итальянская,Морепродукты,Средиземноморская,Подходит для вегетарианцев",1500,88,4.0
934,Биродром,"Европейская,Паб,Паб с пивоварней",1500,101,4.5
935,Ритм блюз кафе,"Бар,Европейская,Паб,Центральноевропейская,Кафе",1500,80,4.0
936,Кулинарная лавка братьев Караваевых на Варшавке,Европейская,700,42,4.5
937,Якитория,"Японская,Морепродукты,Суши,Азиатская",1500,123,4.0
938,Экслибрис,"Европейская,Русская",1500,39,4.5
